State,LifeExpectancy,DiseaseBurden
Hawaii,80.0,14.4
Massachusetts,79.8,16.1
"New Jersey",79.6,14.9
"New York",79.5,16.2
Connecticut,79.4,15.8
California,79.3,15.5
Minnesota,79.3,16.0
"Rhode Island",79.2,16.4
Utah,79.0,16.5
"New Hampshire",78.7,15.8
Colorado,78.5,14.8
Idaho,78.4,16.5
Washington,78.4,16.7
Nebraska,78.3,16.1
Vermont,78.3,15.6
Wisconsin,78.1,16.8
"North Dakota",77.9,16.8
Iowa,77.9,16.8
Florida,77.9,16.6
Maryland,77.8,17.3
Oregon,77.7,17.0
Illinois,77.5,16.6
Virginia,77.5,17.5
"South Dakota",77.3,16.7
Montana,77.3,16.5
Texas,77.1,17.0
Wyoming,76.8,16.0
Michigan,76.8,18.0
Arizona,76.7,16.9
Maine,76.6,17.4
"District of Columbia",76.6,14.9
Delaware,76.5,17.4
Kansas,76.5,17.0
Nevada,76.4,17.2
Georgia,75.9,17.4
"North Carolina",75.9,17.9
Alaska,75.8,16.5
Ohio,75.6,18.3
Indiana,75.4,18.5
Missouri,75.2,17.9
"South Carolina",75.1,17.7
"New Mexico",74.5,16.9
Arkansas,73.9,18.8
Oklahoma,73.8,18.8
Tennessee,73.8,19.2
Alabama,73.8,19.2
Louisiana,73.8,19.5
Mississippi,72.6,19.1
"West Virginia",72.2,21.0
