State,LifeExpectancy,DiseaseBurden,LifestyleRisk,BINGE,CSMOKING,LPA,SLEEP
Hawaii,80.0,14.4,24.9,19.508784676354,11.5829590488771,21.6756274768824,46.7580581241744
Massachusetts,79.8,16.1,22.1,18.5924595047477,12.2883820517594,22.0535654440514,35.5060882517222
"New Jersey",79.6,14.9,22.6,16.9149213531566,11.028722258134,23.9547942253825,38.3595776772247
"New York",79.5,16.2,23.1,18.2175112612613,12.6191779279279,23.6277364864865,38.1194594594595
Connecticut,79.4,15.8,22.1,16.7301965125934,10.8512870190977,24.1011347910324,36.7040686410185
California,79.3,15.5,22.1,17.3147931695736,11.8959455757465,24.4634645237878,34.8208656743676
Minnesota,79.3,16.0,21.6,19.3842792792793,13.947027027027,22.4009009009009,30.5128828828829
"Rhode Island",79.2,16.4,22.8,18.3176578225069,12.0071363220494,24.711527904849,36.1442817932296
Utah,79.0,16.5,18.2,11.213663243075,9.29551820728291,18.4169934640523,33.997790227202
"New Hampshire",78.7,15.8,20.6,17.7206723891273,11.0228898426323,19.579756795422,34.0318311874106
Colorado,78.5,14.8,19.6,19.7639018551765,10.8070975463794,16.6453740275284,31.2130819868342
Idaho,78.4,16.5,21.7,16.0575956284153,12.9900910746812,23.8451001821494,33.9286703096539
Washington,78.4,16.7,20.5,17.6837979724837,11.5371832005793,19.0764120202752,33.7298696596669
Nebraska,78.3,16.1,23.2,22.1497667020148,14.12901378579,24.7267656415695,31.7845599151644
Vermont,78.3,15.6,19.6,18.8477379095164,11.6784711388456,17.7616224648986,29.9959438377535
Wisconsin,78.1,16.8,23.5,20.8670071501532,13.967568947906,25.6534559073885,33.6536942458291
"North Dakota",77.9,16.8,23.4,22.6883461270063,14.9193998604327,22.2909281228193,33.6572226099093
Iowa,77.9,16.8,23.7,22.2511723700887,15.0141951837769,23.8973700887199,33.5989543726236
Florida,77.9,16.6,23.2,17.4399013184502,13.5176737037936,23.7782981476988,38.0368195421823
Maryland,77.8,17.3,22.5,15.3977886497065,11.7269471624266,23.6310371819961,39.2586692759295
Oregon,77.7,17.0,20.0,16.8398339264531,12.2836773428232,19.299359430605,31.5662633451957
Illinois,77.5,16.6,22.6,19.1624325782093,13.0077130528587,21.9641990291262,36.3436084142395
Virginia,77.5,17.5,22.4,15.6190679094541,13.1028362183755,23.6426098535286,37.0531824234354
"South Dakota",77.3,16.7,22.6,20.3942053930006,16.4265633964429,23.8205966724039,29.7790017211704
Montana,77.3,16.5,22.9,22.1226347305389,15.1473532934132,21.397005988024,32.9004790419162
Texas,77.1,17.0,24.6,17.9871636477856,13.4258559313161,28.3335881059575,38.764857083028
Wyoming,76.8,16.0,22.4,16.9147368421053,14.360350877193,24.7421052631579,33.5735087719298
Michigan,76.8,18.0,23.0,18.1782141321485,15.2594094883188,23.729023935789,34.8940232191486
Arizona,76.7,16.9,23.4,16.9292204150308,14.446270330903,24.1965787997757,37.9871003925967
Maine,76.6,17.4,22.1,17.982408074982,14.8478731074261,21.5217736121125,33.9958183129055
"District of Columbia",76.6,14.9,20.0,22.5,9.5,15.3,32.8
Delaware,76.5,17.4,23.0,16.0495145631068,12.918640776699,25.9847572815534,37.0009708737864
Kansas,76.5,17.0,23.0,17.3870844875346,14.5344182825485,25.0004847645429,35.2687673130194
Nevada,76.4,17.2,24.5,18.142758186398,16.3833123425693,25.5333753148615,38.0299748110831
Georgia,75.9,17.4,23.7,15.0811569243238,14.1785026846318,26.7646337757066,38.7439266538345
"North Carolina",75.9,17.9,22.5,15.9748635824437,14.8177461447212,24.1487307236062,35.1426097271649
Alaska,75.8,16.5,24.1,19.1344138543517,17.6412522202487,22.4039520426288,37.3621669626998
Ohio,75.6,18.3,25.0,18.06409363092,16.168622754491,26.4131409907458,39.2216330974415
Indiana,75.4,18.5,24.0,17.7508360222939,16.0691551774714,24.2121149897331,37.9640803754767
Missouri,75.2,17.9,24.9,17.7719295384114,16.3928396672647,27.749208938183,37.5317892676562
"South Carolina",75.1,17.7,23.2,17.3061857596711,13.6602130442908,24.8221827695758,36.8271351149318
"New Mexico",74.5,16.9,22.2,15.0535294117647,14.28125,25.5694117647059,34.0950735294118
Arkansas,73.9,18.8,25.6,15.8268799472296,16.2363786279683,31.0796833773087,39.0661279683377
Oklahoma,73.8,18.8,24.9,14.8741100323625,16.7564600448096,30.5703759024147,37.594498381877
Tennessee,73.8,19.2,24.5,15.7184693589382,17.5144309517086,25.7059870093194,39.0637955379836
Alabama,73.8,19.2,24.7,15.423319534792,15.5618568894145,27.752808988764,40.1317169327814
Louisiana,73.8,19.5,26.5,18.1829150154117,17.5757815940114,29.5261999119331,40.9077939233818
Mississippi,72.6,19.1,26.1,14.6619786280593,17.368286797656,33.0638745260255,39.3645294725957
"West Virginia",72.2,21.0,27.3,16.1054472477064,20.0294724770642,31.0900229357798,41.9369839449541
