State,LifeExpectancy,DiseaseBurden,ScreeningRate,AccessBarrier
Hawaii,80.0,14.4,68.2,6.1
Massachusetts,79.8,16.1,73.1,5.8
"New Jersey",79.6,14.9,70.2,11.8
"New York",79.5,16.2,71.7,6.9
Connecticut,79.4,15.8,73.1,10.5
California,79.3,15.5,66.1,11.3
Minnesota,79.3,16.0,70.2,7.8
"Rhode Island",79.2,16.4,74.8,8.6
Utah,79.0,16.5,66.8,10.1
"New Hampshire",78.7,15.8,71.0,7.2
Colorado,78.5,14.8,66.7,10.2
Idaho,78.4,16.5,64.7,13.7
Washington,78.4,16.7,66.8,9.4
Nebraska,78.3,16.1,67.9,8.9
Vermont,78.3,15.6,69.5,6.4
Wisconsin,78.1,16.8,71.2,8.4
"North Dakota",77.9,16.8,68.3,7.6
Iowa,77.9,16.8,70.4,7.6
Florida,77.9,16.6,68.2,14.8
Maryland,77.8,17.3,71.9,9.1
Oregon,77.7,17.0,67.0,8.8
Illinois,77.5,16.6,68.6,9.0
Virginia,77.5,17.5,71.8,9.2
"South Dakota",77.3,16.7,69.8,9.0
Montana,77.3,16.5,64.7,10.2
Texas,77.1,17.0,65.8,19.7
Wyoming,76.8,16.0,63.5,12.0
Michigan,76.8,18.0,71.5,7.2
Arizona,76.7,16.9,62.7,15.1
Maine,76.6,17.4,70.5,8.3
"District of Columbia",76.6,14.9,72.8,6.2
Delaware,76.5,17.4,70.4,9.5
Kansas,76.5,17.0,69.0,10.3
Nevada,76.4,17.2,64.5,14.5
Georgia,75.9,17.4,69.7,13.8
"North Carolina",75.9,17.9,70.6,11.3
Alaska,75.8,16.5,61.4,10.8
Ohio,75.6,18.3,69.8,8.2
Indiana,75.4,18.5,70.1,9.2
Missouri,75.2,17.9,68.4,9.0
"South Carolina",75.1,17.7,71.6,12.3
"New Mexico",74.5,16.9,63.4,16.5
Arkansas,73.9,18.8,67.0,11.7
Oklahoma,73.8,18.8,66.8,11.6
Tennessee,73.8,19.2,68.6,11.9
Alabama,73.8,19.2,70.0,10.3
Louisiana,73.8,19.5,70.9,9.2
Mississippi,72.6,19.1,61.5,11.9
"West Virginia",72.2,21.0,69.1,8.9
