State,Disease,Prevalence
Hawaii,BPHIGH,27.2208058124174
Massachusetts,BPHIGH,28.5975051200894
"New Jersey",BPHIGH,29.2780650721827
"New York",BPHIGH,29.5463738738739
Connecticut,BPHIGH,28.3239413230003
California,BPHIGH,28.9047027668706
Minnesota,BPHIGH,28.0744369369369
"Rhode Island",BPHIGH,30.3232387923147
Utah,BPHIGH,28.8513227513228
"New Hampshire",BPHIGH,28.1779685264664
Colorado,BPHIGH,25.5115978456014
Idaho,BPHIGH,29.49970856102
Washington,BPHIGH,29.0671976828385
Nebraska,BPHIGH,29.8863308589608
Vermont,BPHIGH,26.5580343213729
Wisconsin,BPHIGH,29.4784133469527
"North Dakota",BPHIGH,30.8738311235171
Iowa,BPHIGH,30.4675538656527
Florida,BPHIGH,31.466424007118
Maryland,BPHIGH,34.3279256360078
Oregon,BPHIGH,29.1183867141163
Illinois,BPHIGH,30.620523193096
Virginia,BPHIGH,33.3438748335553
"South Dakota",BPHIGH,30.2898450946644
Montana,BPHIGH,29.0826586826347
Texas,BPHIGH,32.4352162077269
Wyoming,BPHIGH,28.1266666666667
Michigan,BPHIGH,32.0901676938512
Arizona,BPHIGH,30.7961862030286
Maine,BPHIGH,29.7138428262437
"District of Columbia",BPHIGH,30.3
Delaware,BPHIGH,32.9943689320388
Kansas,BPHIGH,31.6556440443213
Nevada,BPHIGH,30.5482367758186
Georgia,BPHIGH,35.5367743896262
"North Carolina",BPHIGH,34.3516132858837
Alaska,BPHIGH,32.1308170515098
Ohio,BPHIGH,33.3184757757213
Indiana,BPHIGH,34.8674097975946
Missouri,BPHIGH,32.9389985320502
"South Carolina",BPHIGH,34.4771631470753
"New Mexico",BPHIGH,31.1125735294118
Arkansas,BPHIGH,37.9326517150396
Oklahoma,BPHIGH,36.0366691560866
Tennessee,BPHIGH,36.2811352725219
Alabama,BPHIGH,39.6021683422038
Louisiana,BPHIGH,39.4685380889476
Mississippi,BPHIGH,41.6221647707687
"West Virginia",BPHIGH,38.434747706422
Hawaii,COPD,4.5002642007926
Massachusetts,COPD,5.4306832991994
"New Jersey",COPD,4.43777203188968
"New York",COPD,5.65623873873874
Connecticut,COPD,4.823332410739
California,COPD,5.10556113596932
Minnesota,COPD,4.85731981981982
"Rhode Island",COPD,5.70841720036597
Utah,COPD,5.14466230936819
"New Hampshire",COPD,5.14113018597997
Colorado,COPD,4.79820466786355
Idaho,COPD,6.16528233151184
Washington,COPD,5.08750905141202
Nebraska,COPD,5.61728525980912
Vermont,COPD,5.34414976599064
