State,LifeExpectancy,DiseaseBurden,ScreeningRate,LifestyleRisk,SocialRisk,AccessBarrier,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,ACCESS2,BPMED,CHECKUP,CHOLSCREEN,COLON_SCREEN,DENTAL,MAMMOUSE,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Hawaii,80.0,14.4,68.2,24.9,17.5,6.1,19.4236459709379,27.2208058124174,5.2387714663144,9.99398943196829,4.87899603698811,4.5002642007926,16.8068031704095,10.35,29.9351387054161,26.50964332893,3.02384412153236,19.508784676354,11.5829590488771,21.6756274768824,46.7580581241744,6.09933949801849,55.0684940554822,73.7910171730515,79.4128137384412,56.4723910171731,66.6824966974901,77.5227212681638,32.8618890356671,13.3906208718626,18.5836856010568,12.4889696169089,6.70997357992074,8.23487450462351,30.4452443857332
Massachusetts,79.8,16.1,73.1,22.1,17.0,5.8,22.6275926270713,28.5975051200894,7.13874511264197,11.841388940607,5.03800037237014,5.4306832991994,24.5276857196053,8.83600819214299,31.1669335319307,29.106293055297,2.67209085831316,18.5924595047477,12.2883820517594,22.0535654440514,35.5060882517222,5.77594488921988,56.1601936324707,79.5115620927202,88.3444796127351,62.4856451312605,68.0369949730032,83.9309625768013,35.0545708434184,15.972928691119,13.9796499720722,12.7590579035561,8.28603611990318,8.33219139824986,24.706199962763
"New Jersey",79.6,14.9,70.2,22.6,15.8,11.8,19.0283451842275,29.2780650721827,6.12634130575307,8.92814048696402,4.65023701788408,4.43777203188968,15.6503770739065,9.41636500754148,34.5854557207498,28.7962077138548,2.63580047403577,16.9149213531566,11.028722258134,23.9547942253825,38.3595776772247,11.8085757379875,57.9923076923077,76.0505386770093,87.7108381814264,58.7599870717518,65.323313940961,75.2430726136608,33.4977375565611,8.71748545572075,14.9183473389356,13.1852079293256,7.49109028226675,7.81611721611722,24.645173453997
"New York",79.5,16.2,71.7,23.1,16.2,6.9,22.855777027027,29.5463738738739,7.15052927927928,10.8335472972973,5.14689189189189,5.65623873873874,20.4990540540541,9.13561936936937,31.7008671171171,32.4245157657658,2.77768018018018,18.2175112612613,12.6191779279279,23.6277364864865,38.1194594594595,6.86845720720721,57.6864977477477,78.7658783783784,87.5838175675676,62.8431981981982,64.4593355855856,78.7030743243243,33.1947297297297,12.7676576576577,14.3732882882883,13.2238851351351,7.97501126126126,8.02346846846847,24.1118693693694
Connecticut,79.4,15.8,73.1,22.1,17.0,10.5,21.1539164129532,28.3239413230003,7.01508441738168,11.0268751729864,4.7354276224744,4.823332410739,21.275698865209,8.64314973706061,33.4441738167728,30.7140049820094,2.69327428729588,16.7301965125934,10.8512870190977,24.1011347910324,36.7040686410185,10.5453086078051,57.257625242181,78.417132576806,88.1039302518682,66.3774425685026,69.6171048989759,79.0610296152782,34.0186825352892,12.394298367008,15.7126764461666,13.6394685856629,9.12097979518406,8.79064489344035,25.5901190146693
California,79.3,15.5,66.1,22.1,18.8,11.3,19.755657017624,28.9047027668706,6.05883480960643,9.73229842023559,5.27257784677198,5.10556113596932,21.73162268286,10.5042735823213,31.1737923477308,29.033777737193,2.93585973883664,17.3147931695736,11.8959455757465,24.4634645237878,34.8208656743676,11.3345447904301,51.6831613551274,70.1604145740115,83.9616656013149,54.53675463428,61.6055702675555,74.9464706419505,35.861026390284,16.4715094511917,18.4227924390467,15.594164916446,8.18675920007305,9.8359510546982,27.1846224089124
Minnesota,79.3,16.0,70.2,21.6,14.0,7.8,19.9343468468468,28.0744369369369,7.17436936936937,10.0400900900901,5.0481981981982,4.85731981981982,24.9223423423423,9.09416666666667,28.9663513513514,35.4323423423423,2.68970720720721,19.3842792792793,13.947027027027,22.4009009009009,30.5128828828829,7.83538288288288,57.1637612612613,72.5913513513514,83.3548648648649,63.1229279279279,66.8789414414414,78.1677702702703,31.6509684684685,8.46421171171171,12.0966441441441,10.0588963963964,6.29826576576577,7.49869369369369,22.0918918918919
"Rhode Island",79.2,16.4,74.8,22.8,17.1,8.6,21.9491308325709,30.3232387923147,6.88783165599268,11.9344007319305,5.22543458371455,5.70841720036597,23.8881061299177,9.69432753888381,29.8494967978042,32.0781335773102,2.72863677950595,18.3176578225069,12.0071363220494,24.711527904849,36.1442817932296,8.56971637694419,58.0306495882891,82.6578225068618,87.9849954254346,67.8369624885636,70.3387923147301,82.2447392497713,35.9409881061299,13.8607502287283,15.9273559011894,14.2393412625801,8.70722781335773,8.32095150960659,22.696340347667
Utah,79.0,16.5,66.8,18.2,13.6,10.1,23.1848117024588,28.8513227513228,7.63635231870526,10.6979458450047,5.21668222844693,5.14466230936819,26.6479925303455,9.05701836290072,29.3252100840336,32.5675381263617,2.77939620292561,11.213663243075,9.29551820728291,18.4169934640523,33.997790227202,10.1362278244631,49.7768751945223,71.1661998132586,80.452847805789,59.3820417055711,69.7244008714597,70.4232804232804,32.4604419545596,6.59228135698724,12.1793339558045,10.0309368191721,6.86523498288204,6.91646436352319,20.0591036414566
"New Hampshire",78.7,15.8,71.0,20.6,13.2,7.2,22.7583690987124,28.1779685264664,7.6722460658083,10.552861230329,4.67668097281831,5.14113018597997,23.7324749642346,7.60844062947067,29.6536480686695,31.7238912732475,2.48690987124463,17.7206723891273,11.0228898426323,19.579756795422,34.0318311874106,7.19535050071531,55.2414163090129,74.9904148783977,86.2295422031473,63.0238912732475,67.8897711015737,78.3447782546495,32.0093705293276,6.90565092989986,10.0898426323319,9.01738197424893,6.01108726752504,6.05836909871245,22.4806151645207
